SubjectID;VideoID;Delta;Theta;Alpha1;Alpha2;Beta1;Beta2;Gamma1;Gamma2;user-definedlabeln
1;11;2331254,06;309,336713;20,99970328;10,29816207;25,85072253;58,82812443;189,9333083;1,099657159;0
1;11;2376870,939;619,5950783;17,06500886;6,973023947;17,78106072;11,96462383;117,6576453;1,357610965;0
1;11;2378945,134;1071,037545;8,601923602;18,74918573;29,34902015;42,8297055;155,727669;0,734208195;0
1;11;2536059,148;1487,463965;61,48582061;42,27813197;23,93260337;18,44705114;99,70976168;2,571428946;0
1;11;3113486,204;597,3162819;19,9789285;20,22062568;18,57296801;470,8119088;2402,738499;8,95918833;0
1;11;3253927,451;518,7923595;10,19647589;3,654513573;7,907801587;626,9285585;3428,509508;2,516658234;0
1;11;2973455,286;1072,105255;20,73837227;6,076176549;6,382905001;285,4847662;1393,008604;8,045140186;0
1;11;2557064,228;936,6054856;9,603675839;60,52351252;12,33368563;39,05640439;179,8576148;1,829228779;0
1;11;2355363,875;877,2012665;20,61587199;12,77110033;11,40941661;38,32623615;243,0626253;1,365088743;0
1;11;2191574,556;382,8723248;14,19962586;24,89662595;15,22199788;298,7789034;694,785286;3,49011422;0
1;11;2250164,504;603,2470622;22,25773894;9,540996405;20,80265608;146,0340967;601,5347506;1,576104962;0
1;11;2212853,327;761,9950894;6,437971747;27,49785043;7,599332368;163,3824492;591,7532409;1,410802888;0
1;11;2232077,985;1362,47794;43,01254276;4,475053847;8,928139756;275,9329772;751,8814863;2,543143492;0
1;11;2141603,234;346,3509598;26,50144929;16,37658076;16,33252904;416,9591857;1104,720428;1,283332158;0
1;11;2190124,696;623,3915385;62,12470167;3,008847409;11,4276889;338,5516147;884,8535563;1,534768186;0
1;11;2157806,956;452,3321576;33,87448332;12,52367372;11,14591206;387,3971058;1105,346995;2,769488646;0
1;11;2278650,884;1917,131868;22,19721021;6,342789014;14,15631812;133,6031873;536,3817915;1,729780096;0
1;11;2246549,581;332,4940146;46,34195199;33,99696573;6,134426366;141,6675891;494,0627382;2,797702898;0
1;11;2291433,131;602,7484592;37,01809889;3,200170779;7,061326818;100,8919556;410,0034582;5,481411429;0
1;11;2346868,288;903,5051862;8,395792597;10,22222164;19,02161686;17,61357247;183,7433894;4,657987408;0
1;11;2435594,238;1287,949007;26,7432545;11,66186227;15,55335001;51,81909087;107,065483;0,967206071;0
1;11;2465786,145;1150,445238;116,1115169;42,17605604;63,49170769;31,3379848;117,2582541;1,540911737;0
